example_id                                                                              | status  | run_time        |
./spec/channels/session_feed_channel_spec.rb[1:49:1]                                    | passed  | 0.03822 seconds |
./spec/channels/session_feed_channel_spec.rb[1:49:2]                                    | passed  | 0.03042 seconds |
./spec/channels/session_feed_channel_spec.rb[1:49:3]                                    | passed  | 0.03347 seconds |
./spec/channels/session_feed_channel_spec.rb[1:49:4]                                    | passed  | 0.04446 seconds |
./spec/channels/session_feed_channel_spec.rb[1:49:5]                                    | passed  | 0.03983 seconds |
./spec/channels/session_feed_channel_spec.rb[1:50:1]                                    | passed  | 0.03124 seconds |
./spec/channels/session_feed_channel_spec.rb[1:50:2]                                    | passed  | 0.02723 seconds |
./spec/channels/session_feed_channel_spec.rb[1:51:1]                                    | passed  | 0.02693 seconds |
./spec/channels/session_feed_channel_spec.rb[1:51:2]                                    | passed  | 0.03029 seconds |
./spec/channels/session_realtime_channel_spec.rb[1:1]                                   | passed  | 0.03286 seconds |
./spec/channels/session_realtime_channel_spec.rb[1:2]                                   | passed  | 0.04237 seconds |
./spec/channels/session_realtime_channel_spec.rb[1:3]                                   | passed  | 0.04782 seconds |
./spec/channels/session_realtime_channel_spec.rb[1:4]                                   | passed  | 0.02931 seconds |
./spec/channels/session_realtime_channel_spec.rb[1:5]                                   | passed  | 0.03269 seconds |
./spec/channels/session_realtime_channel_spec.rb[1:6]                                   | passed  | 0.02834 seconds |
./spec/config/spells_canonical_names_spec.rb[1:1:1]                                     | passed  | 0.00585 seconds |
./spec/config/spells_canonical_names_spec.rb[1:1:2]                                     | passed  | 0.00233 seconds |
./spec/config/spells_canonical_names_spec.rb[1:1:3]                                     | passed  | 0.00208 seconds |
./spec/config/spells_canonical_names_spec.rb[1:2:1]                                     | passed  | 0.00175 seconds |
./spec/config/spells_canonical_names_spec.rb[1:3:1]                                     | passed  | 0.00134 seconds |
./spec/config/spells_canonical_names_spec.rb[1:4:1]                                     | passed  | 0.00208 seconds |
./spec/config/spells_canonical_names_spec.rb[1:4:2]                                     | passed  | 0.00169 seconds |
./spec/config/spells_canonical_names_spec.rb[1:4:3]                                     | passed  | 0.00215 seconds |
./spec/config/subclass_domain_spells_spec.rb[1:1]                                       | failed  | 0.00453 seconds |
./spec/config/subclass_domain_spells_spec.rb[1:2]                                       | passed  | 0.00612 seconds |
./spec/config/subclass_domain_spells_spec.rb[1:3]                                       | failed  | 0.00489 seconds |
./spec/dnd/apply_subclass_overrides_fighter_bdd_spec.rb[1:1:1]                          | passed  | 0.0067 seconds  |
./spec/dnd/apply_subclass_overrides_fighter_bdd_spec.rb[1:1:2]                          | passed  | 0.00411 seconds |
./spec/dnd/apply_subclass_overrides_fighter_bdd_spec.rb[1:2:1]                          | passed  | 0.03387 seconds |
./spec/dnd/apply_subclass_overrides_fighter_bdd_spec.rb[1:2:2]                          | passed  | 0.03242 seconds |
./spec/dnd/apply_subclass_overrides_fighter_bdd_spec.rb[1:3:1]                          | passed  | 0.11787 seconds |
./spec/dnd/apply_subclass_overrides_fighter_bdd_spec.rb[1:3:2]                          | passed  | 0.13308 seconds |
./spec/dnd/apply_subclass_overrides_fighter_bdd_spec.rb[1:3:3]                          | passed  | 0.12677 seconds |
./spec/dnd/apply_subclass_overrides_fighter_bdd_spec.rb[1:4:1]                          | passed  | 0.16426 seconds |
./spec/dnd/apply_subclass_overrides_fighter_bdd_spec.rb[1:4:2]                          | passed  | 0.18071 seconds |
./spec/dnd/apply_subclass_overrides_fighter_bdd_spec.rb[1:4:3]                          | passed  | 0.17454 seconds |
./spec/lib/spell_combat_data_importer_spec.rb[1:1:1]                                    | passed  | 0.00082 seconds |
./spec/lib/spell_combat_data_importer_spec.rb[1:1:2]                                    | passed  | 0.00077 seconds |
./spec/lib/spell_combat_data_importer_spec.rb[1:1:3]                                    | passed  | 0.00073 seconds |
./spec/lib/spell_combat_data_importer_spec.rb[1:1:4]                                    | passed  | 0.0009 seconds  |
./spec/lib/spell_combat_data_importer_spec.rb[1:2:1]                                    | passed  | 0.07006 seconds |
./spec/lib/spell_combat_data_importer_spec.rb[1:2:2]                                    | passed  | 0.08056 seconds |
./spec/lib/spell_combat_data_importer_spec.rb[1:2:3]                                    | passed  | 0.07308 seconds |
./spec/lib/spell_combat_data_importer_spec.rb[1:2:4]                                    | passed  | 0.07124 seconds |
./spec/lib/spell_combat_data_importer_spec.rb[1:2:5]                                    | passed  | 0.06853 seconds |
./spec/lib/spell_combat_data_importer_spec.rb[1:2:6]                                    | passed  | 0.12234 seconds |
./spec/lib/spell_combat_data_importer_spec.rb[1:2:7]                                    | passed  | 0.07126 seconds |
